ddrad	Row location	pop		epirad		pop		popmap					remaing idv from gen id
5053_5053	50	PueMedS		5055_5055	52	PueMedS		351_351	PanBasS				5053_5053
5054_5054	51	PueMedS		5058_5058	55	PueMedS		352_352	PanBasS				5054_5054
5056_5056	53	PueMedS		5059_5059	56	PueMedS		353_353	PanBasS				5056_5056
5057_5057	54	PueMedS		5060_5060	57	PueMedS		354_354	PanBasS				5057_5057
5060_5060	57	PueMedS		5104_5104	61	PueMedS		356_356	PanBasS				5060_5060
5101_5101	58	PueMedS		5106_5106	62	PueMedS		380_380	PanBocS				5101_5101
5102_5102	59	PueMedS		5108_5108	64	PueMedS		384_384	PanBocS				5102_5102
5103_5103	60	PueMedS		5109_5109	65	PueMedS		481_481	PanBasS				5103_5103
5107_5107	63	PueMedS		5110_5110	66	PueMedS		482_482	PanBasS				5107_5107
5113_5113	68	PueMedS		5112_5112	67	PueMedS		483_483	PanBasS				5113_5113
5114_5114	69	PueMedS		5115_5115	70	PueMedS		484_484	PanBasS				5114_5114
5118_5118	73	PueMedS		5116_5116	71	PueMedS		485_485	PanBasS				5118_5118
5151_5151	75	PueMedS		5117_5117	72	PueMedS		486_486	PanBasS				5151_5151
5152_5152	76	PueMedS		5119_5119	74	PueMedS		488_488	PanBasS				5152_5152
5154_5154	78	PueMedS		5153_5153	77	PueMedS		489_489	PanBasS				5154_5154
5155_5155	79	PueMedS		5157_5157	81	PueMedS		490_490	PanBasS				5155_5155
5156_5156	80	PueMedS		5158_5158	82	PueMedS		5001_5001	PueMedS				5156_5156
5161_5161	85	PueMedS		5159_5159	83	PueMedS		5003_5003	PueMedS				5161_5161
5162_5162	86	PueMedS		5160_5160	84	PueMedS		5006_5006	PueMedS				5162_5162
5163_5163	87	PueMedS		5164_5164	88	PueMedS		5007_5007	PueMedS				5163_5163
5165_5165	89	PueMedS		5168_5168	92	PueMedS		5009_5009	PueMedS				5165_5165
5166_5166	90	PueMedS		5170_5170	94	PueMedS		5010_5010	PueMedS				5166_5166
5167_5167	91	PueMedS		5204_5204	102	PueMedM		5051_5051	PueMedS				5167_5167
5169_5169	93	PueMedS		5205_5205	103	PueMedM		5052_5052	PueMedS				5169_5169
5171_5171	95	PueMedS		5207_5207	104	PueMedM		5053_5053	PueMedS				5171_5171
5172_5172	96	PueMedS		5209_5209	105	PueMedM		5054_5054	PueMedS				5172_5172
5173_5173	97	PueMedS		5210_5210	106	PueMedM		5055_5055	PueMedS				5173_5173
5174_5174	98	PueMedS		5214_5214	108	PueMedM		5056_5056	PueMedS				5174_5174
5201_5201	99	PueMedM		5215_5215	109	PueMedM		5057_5057	PueMedS				5201_5201
5202_5202	100	PueMedM		5216_5216	110	PueMedM		5058_5058	PueMedS				5202_5202
5203_5203	101	PueMedM		5222_5222	115	PueMedM		5059_5059	PueMedS				5203_5203
5213_5213	107	PueMedM		5225_5225	118	PueMedM		5060_5060	PueMedS				5213_5213
5217_5217	111	PueMedM		553_553	121	CurAquS		5101_5101	PueMedS				5217_5217
5218_5218	112	PueMedM		554_554	122	CurAquS		5102_5102	PueMedS				5218_5218
5220_5220	113	PueMedM		658_658	126	CurDivD		5103_5103	PueMedS				5220_5220
5221_5221	114	PueMedM		662_662	128	CurDivD		5104_5104	PueMedS				5221_5221
5223_5223	116	PueMedM		705_705	130	BahCroD		5106_5106	PueMedS				5223_5223
5224_5224	117	PueMedM		717_717	132	BahCroD		5107_5107	PueMedS				5224_5224
551_551	119	CurAquS		721_721	133	BahLsiS		5108_5108	PueMedS				551_551
552_552	120	CurAquS		803_803	139	FloPenS		5109_5109	PueMedS				552_552
554_554	122	CurAquS		808_808	144	FloPenS		5110_5110	PueMedS				554_554
555_555	123	CurAquS		A1_A1	155	PueMedS		5112_5112	PueMedS				555_555
655_655	124	CurDivD		A13_A13	148	PueMedS		5113_5113	PueMedS				655_655
657_657	125	CurDivD		A17_A17	152	PueMedS		5114_5114	PueMedS				657_657
660_660	127	CurDivD		A19_A19	154	PueMedS		5115_5115	PueMedS				660_660
704_704	129	BahCroD		A2_A2	164	PueMedS		5116_5116	PueMedS				704_704
713_713	131	BahCroD		A24_A24	159	PueMedS		5117_5117	PueMedS				713_713
722_722	134	BahLsiS		A28_A28	162	PueMedS		5118_5118	PueMedS				722_722
723_723	135	BahLsiS		A29_A29	163	PueMedS		5119_5119	PueMedS				723_723
726_726	136	BahLsiS		A3_A3	174	PueMedS		5151_5151	PueMedS				726_726
800_800	137	FloPenS		A34_A34	169	PueMedS		5152_5152	PueMedS				800_800
802_802	138	FloPenS		A37_A37	171	PueMedS		5153_5153	PueMedS				802_802
804_804	140	FloPenS		A40_A40	175	PueMedS		5154_5154	PueMedS				804_804
805_805	141	FloPenS		A53_A53	179	PueMedD		5155_5155	PueMedS				805_805
806_806	142	FloPenS		A55_A55	181	PueMedD		5156_5156	PueMedS				806_806
807_807	143	FloPenS		A57_A57	183	PueMedD		5157_5157	PueMedS				807_807
809_809	145	FloPenS		A58_A58	184	PueMedD		5158_5158	PueMedS				809_809
A10_A10	146	PueMedS		A59_A59	185	PueMedD		5159_5159	PueMedS				A10_A10
A12_A12	147	PueMedS		A60_A60	187	PueMedD		5160_5160	PueMedS				A12_A12
A14_A14	149	PueMedS		A61_A61	188	PueMedD		5161_5161	PueMedS				A14_A14
A15_A15	150	PueMedS		A63_A63	190	PueMedD		5162_5162	PueMedS				A15_A15
A16_A16	151	PueMedS		A65_A65	192	PueMedD		5163_5163	PueMedS				A16_A16
A18_A18	153	PueMedS		A66_A66	193	PueMedD		5164_5164	PueMedS				A18_A18
A20_A20	156	PueMedS		A67_A67	194	PueMedD		5165_5165	PueMedS				A20_A20
A22_A22	157	PueMedS		A70_A70	197	PueMedD		5166_5166	PueMedS				A22_A22
A23_A23	158	PueMedS		A74_A74	201	PueMedD		5167_5167	PueMedS				A23_A23
A25_A25	160	PueMedS		A76_A76	203	PueMedD		5168_5168	PueMedS				A25_A25
A27_A27	161	PueMedS		A77_A77	204	PueMedD		5169_5169	PueMedS				A27_A27
A30_A30	165	PueMedS		A78_A78	205	PueMedD		5170_5170	PueMedS				A30_A30
A31_A31	166	PueMedS		A79_A79	206	PueMedD		5171_5171	PueMedS				A31_A31
A32_A32	167	PueMedS		A8_A8	216	PueMedS		5172_5172	PueMedS				A32_A32
A33_A33	168	PueMedS		A80_A80	208	PueMedD		5173_5173	PueMedS				A33_A33
A36_A36	170	PueMedS		A84_A84	212	PueMedD		5174_5174	PueMedS				A36_A36
A38_A38	172	PueMedS		A88_A88	214	PueMedD		5201_5201	PueMedM				A38_A38
A39_A39	173	PueMedS		A89_A89	215	PueMedD		5202_5202	PueMedM				A39_A39
A4_A4	176	PueMedS		A9_A9	218	PueMedS		5203_5203	PueMedM				A4_A4
A5_A5	186	PueMedS		R100_R100	219	PueMedRD		5204_5204	PueMedM				A51_A51
A51_A51	177	PueMedD		R104_R104	221	PueMedRD		5205_5205	PueMedM				A52_A52
A52_A52	178	PueMedD		R107_R107	224	PueMedRD		5207_5207	PueMedM				A54_A54
A54_A54	180	PueMedD		R108_R108	225	PueMedRD		5209_5209	PueMedM				A56_A56
A56_A56	182	PueMedD		R109_R109	226	PueMedRD		5210_5210	PueMedM				A5_A5
A6_A6	196	PueMedS		R116_R116	230	PueMedRD		5213_5213	PueMedM				A62_A62
A62_A62	189	PueMedD		R117_R117	231	PueMedRD		5214_5214	PueMedM				A64_A64
A64_A64	191	PueMedD		R12_R12	233	PueMedRS		5215_5215	PueMedM				A69_A69
A69_A69	195	PueMedD		R15_R15	236	PueMedRS		5216_5216	PueMedM				A6_A6
A7_A7	207	PueMedS		R17_R17	238	PueMedRS		5217_5217	PueMedM				A71_A71
A71_A71	198	PueMedD		R4_R4	243	PueMedRS		5218_5218	PueMedM				A72_A72
A72_A72	199	PueMedD		R6_R6	244	PueMedRS		5220_5220	PueMedM				A73_A73
A73_A73	200	PueMedD		R98_R98	246	PueMedRD		5221_5221	PueMedM				A75_A75
A75_A75	202	PueMedD						5222_5222	PueMedM				A7_A7
A81_A81	209	PueMedD						5223_5223	PueMedM				A81_A81
A82_A82	210	PueMedD						5224_5224	PueMedM				A82_A82
A83_A83	211	PueMedD						5225_5225	PueMedM				A83_A83
A85_A85	213	PueMedD						551_551	CurAquS				A85_A85
A90_A90	217	PueMedD						552_552	CurAquS				A90_A90
R101_R101	220	PueMedRD						553_553	CurAquS				R101_R101
R105_R105	222	PueMedRD						554_554	CurAquS				R105_R105
R106_R106	223	PueMedRD						555_555	CurAquS				R106_R106
R11_R11	232	PueMedRS						655_655	CurDivD				R110_R110
R110_R110	227	PueMedRD						657_657	CurDivD				R111_R111
R111_R111	228	PueMedRD						658_658	CurDivD				R113_R113
R113_R113	229	PueMedRD						660_660	CurDivD				R11_R11
R13_R13	234	PueMedRS						662_662	CurDivD				R13_R13
R14_R14	235	PueMedRS						704_704	BahCroD				R14_R14
R16_R16	237	PueMedRS						705_705	BahCroD				R16_R16
R18_R18	239	PueMedRS						713_713	BahCroD				R20_R20
R2_R2	241	PueMedRS						717_717	BahCroD				R2_R2
R20_R20	240	PueMedRS						721_721	BahLsiS				R3_R3
R3_R3	242	PueMedRS						722_722	BahLsiS				R7_R7
R7_R7	245	PueMedRS						723_723	BahLsiS				R99_R99
R99_R99	247	PueMedRD						726_726	BahLsiS				
								800_800	FloPenS				
								802_802	FloPenS				
								803_803	FloPenS				
								804_804	FloPenS				
								805_805	FloPenS				
								806_806	FloPenS				
								807_807	FloPenS				
								808_808	FloPenS				
								809_809	FloPenS				
								A10_A10	PueMedS				
								A12_A12	PueMedS				
								A13_A13	PueMedS				
								A14_A14	PueMedS				
								A15_A15	PueMedS				
								A16_A16	PueMedS				
								A17_A17	PueMedS				
								A18_A18	PueMedS				
								A19_A19	PueMedS				
								A1_A1	PueMedS				
								A20_A20	PueMedS				
								A22_A22	PueMedS				
								A23_A23	PueMedS				
								A24_A24	PueMedS				
								A25_A25	PueMedS				
								A27_A27	PueMedS				
								A28_A28	PueMedS				
								A29_A29	PueMedS				
								A2_A2	PueMedS				
								A30_A30	PueMedS				
								A31_A31	PueMedS				
								A32_A32	PueMedS				
								A33_A33	PueMedS				
								A34_A34	PueMedS				
								A36_A36	PueMedS				
								A37_A37	PueMedS				
								A38_A38	PueMedS				
								A39_A39	PueMedS				
								A3_A3	PueMedS				
								A40_A40	PueMedS				
								A4_A4	PueMedS				
								A51_A51	PueMedD				
								A52_A52	PueMedD				
								A53_A53	PueMedD				
								A54_A54	PueMedD				
								A55_A55	PueMedD				
								A56_A56	PueMedD				
								A57_A57	PueMedD				
								A58_A58	PueMedD				
								A59_A59	PueMedD				
								A5_A5	PueMedS				
								A60_A60	PueMedD				
								A61_A61	PueMedD				
								A62_A62	PueMedD				
								A63_A63	PueMedD				
								A64_A64	PueMedD				
								A65_A65	PueMedD				
								A66_A66	PueMedD				
								A67_A67	PueMedD				
								A69_A69	PueMedD				
								A6_A6	PueMedS				
								A70_A70	PueMedD				
								A71_A71	PueMedD				
								A72_A72	PueMedD				
								A73_A73	PueMedD				
								A74_A74	PueMedD				
								A75_A75	PueMedD				
								A76_A76	PueMedD				
								A77_A77	PueMedD				
								A78_A78	PueMedD				
								A79_A79	PueMedD				
								A7_A7	PueMedS				
								A80_A80	PueMedD				
								A81_A81	PueMedD				
								A82_A82	PueMedD				
								A83_A83	PueMedD				
								A84_A84	PueMedD				
								A85_A85	PueMedD				
								A88_A88	PueMedD				
								A89_A89	PueMedD				
								A8_A8	PueMedS				
								A90_A90	PueMedD				
								A9_A9	PueMedS				
								R100_R100	PueMedRD				
								R101_R101	PueMedRD				
								R104_R104	PueMedRD				
								R105_R105	PueMedRD				
								R106_R106	PueMedRD				
								R107_R107	PueMedRD				
								R108_R108	PueMedRD				
								R109_R109	PueMedRD				
								R110_R110	PueMedRD				
								R111_R111	PueMedRD				
								R113_R113	PueMedRD				
								R116_R116	PueMedRD				
								R117_R117	PueMedRD				
								R11_R11	PueMedRS				
								R12_R12	PueMedRS				
								R13_R13	PueMedRS				
								R14_R14	PueMedRS				
								R15_R15	PueMedRS				
								R16_R16	PueMedRS				
								R17_R17	PueMedRS				
								R18_R18	PueMedRS				
								R20_R20	PueMedRS				
								R2_R2	PueMedRS				
								R3_R3	PueMedRS				
								R4_R4	PueMedRS				
								R6_R6	PueMedRS				
								R7_R7	PueMedRS				
								R98_R98	PueMedRD				
								R99_R99	PueMedRD				
