Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
38_T23_Ac_IN	38_T23_Ac_IN.fastq	Conventional base calls	Sanger / Illumina 1.9	21348241.0	0.0	50.0	45.0	49.15125459863866	50.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	warn	pass
39_2	39_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14861455.0	0.0	125.0	42.0	56.86031629145973	125.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
41_2	41_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14403072.0	0.0	125.0	43.0	57.41984285743883	125.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
41_ctl3_Ac_RN_2	41_ctl3_Ac_RN_2.fastq	Conventional base calls	Sanger / Illumina 1.9	16449541.0	0.0	125.0	44.0	59.382246425504505	125.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
42_2	42_2.fastq	Conventional base calls	Sanger / Illumina 1.9	18099916.0	0.0	50.0	43.0	56.7389911460402	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
45_T41_Ac_SC_2	45_T41_Ac_SC_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20233577.0	0.0	125.0	44.0	57.85670443024945	125.0	pass	pass	warn	pass	fail	warn	pass	pass	warn	warn	warn
47_2	47_2.fastq	Conventional base calls	Sanger / Illumina 1.9	11361956.0	0.0	50.0	42.0	61.28138772089762	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	pass	pass
47_T31_Ac_JB	47_T31_Ac_JB.fastq	Conventional base calls	Sanger / Illumina 1.9	14229140.0	0.0	50.0	43.0	50.072447519821736	50.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	warn	pass
4_2	4_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13298701.0	0.0	125.0	43.0	60.47043571672359	125.0	pass	pass	warn	pass	fail	pass	pass	pass	warn	pass	fail
52_T11_Ac_II	52_T11_Ac_II.fastq	Conventional base calls	Sanger / Illumina 1.9	17303453.0	0.0	50.0	42.0	51.47688076414052	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
53_T21_Ac_NH	53_T21_Ac_NH.fastq	Conventional base calls	Sanger / Illumina 1.9	10306635.0	0.0	50.0	44.0	60.57597122448922	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
54_T42_Ac_JQ	54_T42_Ac_JQ.fastq	Conventional base calls	Sanger / Illumina 1.9	23542186.0	0.0	50.0	43.0	49.666288047056554	50.0	pass	pass	fail	pass	fail	pass	pass	pass	fail	warn	pass
57_T32_Ac_NM	57_T32_Ac_NM.fastq	Conventional base calls	Sanger / Illumina 1.9	11679142.0	0.0	50.0	44.0	60.859345948401334	50.0	pass	pass	fail	pass	fail	pass	pass	pass	warn	warn	pass
